centroid-0,centroid-1,axis_major_length,axis_minor_length,area,perimeter,circularity,maskNumber,skewness,Intensity,ImageOrigin,centroid_row_px,centroid_col_px,centroid_x_m,centroid_y_m,major_m,minor_m,area_m2,diameter_m,ParticleID,global_x_m,global_y_m,sample_x_m,sample_y_m
1006.178640776699,1011.5766990291262,44.942653262731405,43.82877602277623,1545.0,145.53910524340094,0.9165980871381731,10,1.0254142903597476,0.7097428935174812,Caleb August27_y_0.00534605810575_x_-0.004777146381,1006.178640776699,1011.5766990291262,5.268628640776698e-05,5.240513754045307e-05,2.3407631907672604e-06,2.2827487511862614e-06,4.191080729166666e-12,2.3115739768708965e-06,0,-0.004749460094592233,0.0053984632276654525,0.0021896483653526993,-0.0011879079330397004
1006.8087927424982,968.8164689462666,44.0662815447387,41.49778481609916,1433.0,139.63961030678928,0.9235040366942356,13,1.0618947912526426,0.6998584229686644,Caleb August27_y_0.00534605810575_x_-0.004777146381,1006.8087927424982,968.8164689462666,5.045919109095138e-05,5.2437957955338447e-05,2.29511883045514e-06,2.1613429591718317e-06,3.887261284722222e-12,2.227226734005073e-06,1,-0.004751687189909049,0.0053984960480803375,0.002187421685396424,-0.0011878538303397956
1006.7717983651228,968.9925068119892,44.47630395832096,42.08839497306421,1468.0,141.0538238691624,0.9271845612168842,14,1.056735567768383,0.697477171241664,Caleb August27_y_0.00534605810575_x_-0.004777146381,1006.7717983651228,968.9925068119892,5.046835972979109e-05,5.243603116485014e-05,2.316474164495883e-06,2.192103904847094e-06,3.98220486111111e-12,2.2534311752234265e-06,2,-0.004751678021270209,0.00539849412128985,0.0021874308352027145,-0.0011878558446646436
544.7827586206896,421.3510344827586,44.83489619889664,41.35650554445373,1450.0,142.12489168102786,0.9020644605221972,19,1.0841074604503038,0.7289525342973739,Caleb August27_y_0.00534605810575_x_-0.004777146381,544.7827586206896,421.3510344827586,2.194536637931034e-05,2.837410201149425e-05,2.335150843692533e-06,2.153984663773632e-06,3.933376736111111e-12,2.242739196810849e-06,3,-0.00478020101462069,0.0053744321921364935,0.0021586791906638546,-0.0012116440879912061
629.2316570486397,1566.6372629843363,42.48617815511432,36.43015452928367,1213.0,129.29646455628165,0.9117953336133412,21,1.166236561554045,0.7581451700632857,Caleb August27_y_0.00534605810575_x_-0.004777146381,629.2316570486397,1566.6372629843363,8.159569078043418e-05,3.2772482137949984e-05,2.212821778912204e-06,1.897403881733524e-06,3.290473090277777e-12,2.049052618380625e-06,4,-0.004720550690219566,0.005378830572262949,0.002218368825230061,-0.001207815971711772
652.019985196151,1129.5669874167284,44.44876946147957,38.88353980873378,1351.0,135.53910524340094,0.92413620370101,26,1.1431255919631,0.8085544702502215,Caleb August27_y_0.00534605810575_x_-0.004777146381,652.019985196151,1129.5669874167284,5.88316139279546e-05,3.395937422896619e-05,2.3150400761187277e-06,2.0251843650382173e-06,3.664822048611111e-12,2.1652674122594028e-06,5,-0.004743314767072045,0.005380017464353966,0.0021956171307647215,-0.0012064115833263333
70.12927756653993,1153.1520912547528,19.654204267803543,17.145170540221958,263.0,58.52691193458119,0.9648379840618048,30,1.1463405523844443,0.9211493202184052,Caleb August27_y_0.00534605810575_x_-0.004777146381,70.12927756653993,1153.1520912547528,6.00600047528517e-05,3.6525665399239535e-06,1.0236564722814344e-06,8.929776323032268e-07,7.134331597222221e-13,9.560869902418657e-07,6,-0.004742086376247148,0.0053497106566649235,0.0021965558310358415,-0.0012367287464211923
445.5919913419913,408.3495670995671,35.96255790547763,32.82298683261686,924.0,113.49747468305831,0.9013831556646156,34,1.0956515959035429,0.7282406305742305,Caleb August27_y_0.00534605810575_x_-0.004777146381,445.5919913419913,408.3495670995671,2.126820661976912e-05,2.320791621572872e-05,1.873049890910293e-06,1.7095305641987946e-06,2.506510416666666e-12,1.7894233810868696e-06,7,-0.00478087817438023,0.005369266006340728,0.0021579526899035716,-0.0012168035664204288
801.6348115299335,1256.051441241685,77.82368138330794,73.8150263839412,4510.0,249.96551211459376,0.9070395412766936,1,1.0543067610450498,0.6607599370374506,Caleb August27_y_0.00534605810575_x_-0.004877146381,801.6348115299335,1256.051441241685,6.541934589800442e-05,4.175181310051737e-05,4.053316738713955e-06,3.844532624163604e-06,1.223415798611111e-11,3.94754460874785e-06,8,-0.004836727035101996,0.005387809903225516,0.0021022835989258095,-0.001197726783009632
126.55007704160246,1830.63196125908,79.546430420131,72.88154174275851,4543.0,249.76450198781717,0.9151476587971656,3,1.0914482394032878,0.5627494648620924,Caleb August27_y_0.00534605810575_x_-0.004877146381,126.55007704160246,1830.63196125908,9.53454146489104e-05,6.591149845916795e-06,4.1430432510484895e-06,3.7959136324353384e-06,1.2323676215277776e-11,3.965682079595412e-06,9,-0.00480680096635109,0.0053526492399709165,0.002131872279529799,-0.001233171836423365
161.80339702760085,200.1507430997877,56.72041131014228,52.895255346834944,2355.0,178.8528137423857,0.9251437551494902,4,1.0723156725159135,0.7211481611279574,Caleb August27_y_0.00534605810575_x_-0.004877146381,161.80339702760085,200.1507430997877,1.0424517869780608e-05,8.42726026185421e-06,2.95418808906991e-06,2.7549612159809865e-06,6.388346354166666e-12,2.852836064357815e-06,10,-0.00489172186313022,0.005354485350386853,0.0020469728080515152,-0.0012305242424327475
65.58862526168876,1796.642358688067,62.62973007811774,58.31960087259722,2866.0,198.06601717798213,0.9180495304587594,5,1.073905327557647,0.5809431214248557,Caleb August27_y_0.00534605810575_x_-0.004877146381,65.58862526168876,1796.642358688067,9.35751228483368e-05,3.416074232379623e-06,3.2619651082352985e-06,3.037479212114438e-06,7.774522569444444e-12,3.147721589802272e-06,11,-0.0048085712581516634,0.005349474164357379,0.0021300717251821347,-0.0012363298488128219
205.86083213773315,209.76111908177904,46.06426714482664,38.59133063120864,1394.0,139.0538238691624,0.9059552906457028,7,1.193642882776752,0.6712219096576537,Caleb August27_y_0.00534605810575_x_-0.004877146381,205.86083213773315,209.76111908177904,1.0925058285509324e-05,1.0721918340506935e-05,2.399180580459721e-06,2.009965137042116e-06,3.781467013888888e-12,2.1959666036150246e-06,12,-0.004891221322714491,0.005356780008465506,0.002047495255073158,-0.0012282344726811604
243.40299572039945,215.490727532097,44.4993373276871,40.29781409069479,1402.0,137.63961030678928,0.9299744328356664,8,1.1042618149842152,0.7464753406534019,Caleb August27_y_0.00534605810575_x_-0.004877146381,243.40299572039945,215.490727532097,1.1223475392296716e-05,1.2677239360437469e-05,2.3176738191503694e-06,2.098844483890353e-06,3.803168402777777e-12,2.2055468507335862e-06,13,-0.004890922905607703,0.005358735329485437,0.0020478123450581604,-0.001226282092850795
