centroid-0,centroid-1,axis_major_length,axis_minor_length,area,perimeter,circularity,maskNumber,skewness,Intensity,ImageOrigin,centroid_row_px,centroid_col_px,centroid_x_m,centroid_y_m,major_m,minor_m,area_m2,diameter_m,ParticleID
1006.178640776699,1011.5766990291262,44.942653262731405,43.828776022776225,1545.0,145.53910524340094,0.9165980871381733,10,1.0254142903597476,0.7097428935174812,Caleb August27_y_0.00534605810575_x_-0.004777146381,1006.178640776699,1011.5766990291262,5.268628640776698e-05,5.240513754045307e-05,2.3407631907672604e-06,2.2827487511862614e-06,4.191080729166666e-12,2.3115739768708965e-06,0
1006.8087927424982,968.8164689462666,44.0662815447387,41.49778481609916,1433.0,139.63961030678928,0.9235040366942356,13,1.0618947912526426,0.6998584229686644,Caleb August27_y_0.00534605810575_x_-0.004777146381,1006.8087927424982,968.8164689462666,5.045919109095138e-05,5.2437957955338447e-05,2.29511883045514e-06,2.1613429591718313e-06,3.887261284722222e-12,2.227226734005073e-06,1
1006.7717983651227,968.9925068119891,44.476303958320955,42.088394973064204,1468.0,141.0538238691624,0.9271845612168842,14,1.056735567768383,0.697477171241664,Caleb August27_y_0.00534605810575_x_-0.004777146381,1006.7717983651227,968.9925068119891,5.046835972979109e-05,5.243603116485014e-05,2.316474164495883e-06,2.192103904847094e-06,3.98220486111111e-12,2.2534311752234265e-06,2
544.7827586206896,421.3510344827586,44.834896198896644,41.35650554445373,1450.0,142.12489168102786,0.9020644605221972,19,1.0841074604503038,0.7289525342973739,Caleb August27_y_0.00534605810575_x_-0.004777146381,544.7827586206896,421.3510344827586,2.194536637931034e-05,2.837410201149425e-05,2.335150843692533e-06,2.1539846637736316e-06,3.9333767361111105e-12,2.2427391968108494e-06,3
629.2316570486397,1566.6372629843363,42.48617815511432,36.43015452928367,1213.0,129.29646455628165,0.9117953336133411,21,1.1662365615540453,0.7581451700632857,Caleb August27_y_0.00534605810575_x_-0.004777146381,629.2316570486397,1566.6372629843363,8.159569078043418e-05,3.2772482137949984e-05,2.212821778912204e-06,1.8974038817335242e-06,3.290473090277777e-12,2.0490526183806255e-06,4
652.019985196151,1129.5669874167284,44.44876946147957,38.88353980873378,1351.0,135.53910524340094,0.9241362037010101,26,1.1431255919631,0.8085544702502215,Caleb August27_y_0.00534605810575_x_-0.004777146381,652.019985196151,1129.5669874167284,5.8831613927954595e-05,3.395937422896619e-05,2.3150400761187273e-06,2.0251843650382173e-06,3.6648220486111105e-12,2.1652674122594028e-06,5
70.12927756653993,1153.1520912547528,19.654204267803543,17.145170540221958,263.0,58.526911934581186,0.9648379840618049,30,1.1463405523844443,0.9211493202184052,Caleb August27_y_0.00534605810575_x_-0.004777146381,70.12927756653993,1153.1520912547528,6.00600047528517e-05,3.6525665399239544e-06,1.0236564722814344e-06,8.929776323032268e-07,7.134331597222221e-13,9.560869902418655e-07,6
445.59199134199133,408.3495670995671,35.96255790547763,32.82298683261686,924.0,113.49747468305833,0.9013831556646157,34,1.0956515959035427,0.7282406305742305,Caleb August27_y_0.00534605810575_x_-0.004777146381,445.59199134199133,408.3495670995671,2.1268206619769116e-05,2.3207916215728716e-05,1.873049890910293e-06,1.7095305641987946e-06,2.506510416666666e-12,1.7894233810868696e-06,7
801.6348115299335,1256.051441241685,77.82368138330794,73.8150263839412,4510.0,249.96551211459376,0.9070395412766937,1,1.0543067610450498,0.6607599370374506,Caleb August27_y_0.00534605810575_x_-0.004877146381,801.6348115299335,1256.051441241685,6.541934589800442e-05,4.175181310051737e-05,4.053316738713955e-06,3.8445326241636035e-06,1.223415798611111e-11,3.94754460874785e-06,8
126.55007704160246,1830.6319612590798,79.546430420131,72.88154174275851,4543.0,249.76450198781714,0.9151476587971656,3,1.0914482394032878,0.5627494648620924,Caleb August27_y_0.00534605810575_x_-0.004877146381,126.55007704160246,1830.6319612590798,9.53454146489104e-05,6.591149845916795e-06,4.1430432510484895e-06,3.7959136324353388e-06,1.2323676215277776e-11,3.9656820795954115e-06,9
161.80339702760085,200.1507430997877,56.72041131014228,52.895255346834944,2355.0,178.8528137423857,0.9251437551494902,4,1.0723156725159135,0.7211481611279574,Caleb August27_y_0.00534605810575_x_-0.004877146381,161.80339702760085,200.1507430997877,1.0424517869780608e-05,8.42726026185421e-06,2.95418808906991e-06,2.7549612159809865e-06,6.388346354166666e-12,2.852836064357815e-06,10
